Title,Publisher,Author,Year
"The Dragonfly Effect: Quick, Effective, and Powerful Ways To Use Social Media to Drive Social Change","<a href=""/s/?q=Jossey-Bass"" title=""Publisher"">Jossey-Bass</a>","Jennifer Aaker, Andy Smith",2010
Alpha Male Strategies: Dating Techniques In The Social Media Age,nan,"Strategies, Alpha Male",2018
The Happiness Effect: How Social Media is Driving a Generation to Appear Perfect at Any Cost,"<a href=""/s/?q=Oxford+University+Press"" title=""Publisher"">Oxford University Press</a>","Donna Freitas, Christian Smith",2017
Internet and Social Media Addiction,"<a href=""/s/?q=ReferencePoint+Press%2C+Inc."" title=""Publisher"">ReferencePoint Press, Inc.</a>",Andrea C. Nakaya,2015
"Social Media - The Art of Marketing on YouTube, Facebook, Twitter, and Instagram",nan,Calvin Kennedy,english
"Follow me! Erfolgreiches Social Media Marketing mit Facebook, Instagram, LinkedIn und Co.","<a href=""/s/?q=Rheinwerk+Verlag"" title=""Publisher"">Rheinwerk Verlag</a>","Karim-Patrick Bannour, Anne Grabs, Elisabeth Vogl",2022
Copywriting: I 50 Comandamenti del Copywriter. Copywriting Persuasivo per Social Media Marketing. Per Negati. Edizione 2019 (Marketing per Negati Vol. 4) (Italian Edition),nan,Max Milla,2019
"Mining the Social Web: Analyzing Data from Facebook, Twitter, LinkedIn, and Other Social Media Sites","<a href=""/s/?q=O%27Reilly+Media"" title=""Publisher"">O'Reilly Media</a>",Matthew A. Russell,2011
Dynamic Digital Marketing: Master the world of online and social media marketing to grow your business,"<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",Dawn McGruer,2
Social Media and Public Relations: Fake Friends and Powerful Publics,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Judy Motion, Robert L. Heath, Shirley Leitch",2016
Social eCommerce: Increasing Sales and Extending Brand Reach,"<a href=""/s/?q=O%27Reilly+Media"" title=""Publisher"">O'Reilly Media</a>","Stephan Spencer, Jimmy Harding, Jennifer Sheahan",2014
"The Social Media Debate: Unpacking the Social, Psychological, and Cultural Effects of Social Media","<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Devan Rosen (editor),2022
"The Social Media Handbook for Financial Advisors: How to Use LinkedIn, Facebook, and Twitter to Build and Grow Your Business","<a href=""/s/?q=Bloomberg+Press"" title=""Publisher"">Bloomberg Press</a>","Matthew Halloran, Crystal Thies(auth.)",2012
30-Minute Social Media Marketing: Step-by-step Techniques to Spread the Word About Your Business,"<a href=""/s/?q=McGraw-Hill"" title=""Publisher"">McGraw-Hill</a>",Susan Gunelius,2010
Social Media Marketing Workbook 2022: Secret tricks for successfully growing your business to billionaire,nan,"Howell, Shaun",2022
Why Social Media is Ruining Your Life,"<a href=""/s/?q=Cassell+Illustrated"" title=""Publisher"">Cassell Illustrated</a>",Katherine Ormerod,2018
Selling Social Media: The Political Economy of Social Networking,"<a href=""/s/?q=Bloomsbury+Academic"" title=""Publisher"">Bloomsbury Academic</a>",Daniel Faltesek,2018
"i-Minds: How Cell Phones, Computers, Gaming, and Social Media are Changing our Brains, our Behavior, and the Evolution of our Species","<a href=""/s/?q=New+Society+Publishers"" title=""Publisher"">New Society Publishers</a>",Mari Swingle,2016
Content Marketing: Think Like a Publisher - How to Use Content to Market Online and in Social Media (Que Biz-Tech),"<a href=""/s/?q=Que"" title=""Publisher"">Que</a>",Rebecca Lieb,2011
Social-Media-Marketing kompakt,"<a href=""/s/?q=Springer+Fachmedien+Wiesbaden%3BSpringer+Gabler"" title=""Publisher"">Springer Fachmedien Wiesbaden;Springer Gabler</a>",Ralf T. Kreutzer,2018
No Sense of Place: The Impact of Electronic Media on Social Behavior,"<a href=""/s/?q=Oxford+University+Press"" title=""Publisher"">Oxford University Press</a>",Joshua Meyrowitz,1985
"Custodians of the Internet: Platforms, Content Moderation, and the Hidden Decisions That Shape Social Media","<a href=""/s/?q=Yale+University+Press"" title=""Publisher"">Yale University Press</a>",Tarleton Gillespie,2018
"I'm a Therapist, and My Patient is a Vegan Terrorist: 6 Deadly Social Media Influencers","<a href=""/s/?q=Dr.+Harper+Therapy"" title=""Publisher"">Dr. Harper Therapy</a>",Dr. Harper,2020
Historia economica y social de la Edad Media,"<a href=""/s/?q=Fondo+de+Cultura+Econ%C3%B3mica"" title=""Publisher"">Fondo de Cultura Económica</a>",Henri Pirenne,1939
"Content Rules: How to Create Killer Blogs, Podcasts, Videos, Ebooks, Webinars (and More) That Engage Customers and Ignite Your Business (New Rules Social Media Series)","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>","Ann Handley, C.C. Chapman",2010
"Managing Democracy in the Digital Age: Internet Regulation, Social Media Use, and Online Civic Engagement","<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>","Julia Schwanholz, Todd Graham, Peter-Tobias Stoll (eds.)",2018
"The Zen of Social Media Marketing: An Easier Way to Build Credibility, Generate Buzz, and Increase Revenue","<a href=""/s/?q=BenBella+Books"" title=""Publisher"">BenBella Books</a>","Shama Kabani, Chris Brogan",2010
Social Media and Personal Relationships : Online Intimacies and Networked Friendship,"<a href=""/s/?q=Palgrave+Macmillan"" title=""Publisher"">Palgrave Macmillan</a>","Chambers, Deborah",2013
The Social Organism: A Radical Understanding of Social Media to Transform Your Business and Life,"<a href=""/s/?q=Hachette+Books"" title=""Publisher"">Hachette Books</a>","Oliver Luckett, Michael J. Casey",2016
Social Media ROI: Managing and Measuring Social Media Efforts in Your Organization,"<a href=""/s/?q=Que+Publishing"" title=""Publisher"">Que Publishing</a>",Olivier Blanchard,2011
Netnography Unlimited: Understanding Technoculture Using Qualitative Social Media Research,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Robert V. Kozinets (editor), Rossella Gambetti (editor)",2021
"Social Skills - Social Fluency: Genuine Social Habits to Work a Room, Own a Conversation, and Be Instantly Likeable...Even Introverts! (Communication Skills, Small Talk, People Skills Mastery)","<a href=""/s/?q=Plain+Key+Media"" title=""Publisher"">Plain Key Media</a>",Patrick King,2014
Social media made me rich : here's how it can do the same for you,"<a href=""/s/?q=Morgan+James+Publishing"" title=""Publisher"">Morgan James Publishing</a>","Loop, Matthew",2016
"Essential Guide to Making Money Online: Self-Publishing, Blogging, Affiliate Marketing, Dropshipping, Online Videos, Courses, Merch, Social Media Influencer Marketing, and Retail Arbitrage","<a href=""/s/?q=%23PrB.rating%233.18"" title=""Publisher"">#PrB.rating#3.18</a>","Michael Kevin [Kevin, Michael]",2019
Framing Public Life: Perspectives on Media and Our Understanding of the Social World,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Stephen D. Reese, Oscar H. Gandy  Jr., August E. Grant",2001
"Messing with the Enemy: Surviving in a Social Media World of Hackers, Terrorists, Russians, and Fake News","<a href=""/s/?q=Harper+Paperbacks"" title=""Publisher"">Harper Paperbacks</a>",Clint Watts,2019
Social Media Marketing: Ultimate instructions for upgrading your Business Through social media marketing efforts in 2020,nan,"Elby, Susan",2020
Social Media Promotion for Small Business and Entrepreneurs: The Manual For Marketing Your Products And Business Online,"<a href=""/s/?q=BOMG+Publishing"" title=""Publisher"">BOMG Publishing</a>","Owsinski, Bobby",2014
A Social Media Survival Guide: How to Use the Most Popular Platforms and Protect Your Privacy,"<a href=""/s/?q=Rowman+%26+Littlefield+Publishers"" title=""Publisher"">Rowman &amp; Littlefield Publishers</a>",Melody Karle,2020
"Work Smarter with Social Media : a Guide to Managing Evernote, Twitter, LinkedIn, and Your Email.","<a href=""/s/?q=Harvard+Business+Review+Press"" title=""Publisher"">Harvard Business Review Press</a>","Samuel, Alexandra",2015
Social Media Mining with R: Deploy cutting-edge sentiment analysis techniques to real-world social media data using R,"<a href=""/s/?q=Packt+Publishing"" title=""Publisher"">Packt Publishing</a>","Richard Heimann, Nathan Danneman",2014
The Live-Streaming Handbook: How to Create Live Video for Social Media on Your Phone and Desktop,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Peter Stewart,2018
Internet and surveillance: the challenges of Web 2.0 and social media,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Christian Fuchs, Kees Boersma, Anders Albrechtslund, Marisol Sandoval (editors)",2011
The Everything Guide to Crowdfunding: Learn how to use social media for small-business funding,"<a href=""/s/?q=Adams+Media"" title=""Publisher"">Adams Media</a>",Thomas Elliott Young,2013
Open Source Intelligence and Cyber Crime: Social Media Analytics,"<a href=""/s/?q=Springer+International+Publishing%3BSpringer"" title=""Publisher"">Springer International Publishing;Springer</a>","Mohammad A. Tayebi, Uwe Glässer, David B. Skillicorn",2020
"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts",nan,"Shekhar mishra [mishra, Shekhar]",2018
Guerrilla Marketing for Job Hunters 3.0: How to Stand Out from the Crowd and Tap Into the Hidden Job Market using Social Media and 999 other Tactics Today,"<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>","Jay Conrad Levinson, David E. Perry",2011
"Charisma: Conversation Skills, Influence, Social Skills, People Skills (Communication Skills, How To Talk To Anyone, Persuasion, How To Be Charismatic, Be Magnetic)","<a href=""/s/?q=Pomodoro+Media"" title=""Publisher"">Pomodoro Media</a>","Gary Marshall [Marshall, Gary]",2014
Mobile and Social Media Journalism; A Practical Guide,"<a href=""/s/?q=CQ+Press"" title=""Publisher"">CQ Press</a>",Anthony Adornato,2017
"Language, Social Media and Ideologies: Translingual Englishes, Facebook and Authenticities","<a href=""/s/?q=Springer"" title=""Publisher"">Springer</a>",Sender Dovchin,2020
"Violence and trolling on social media: history, affect, and effects of online vitriol","<a href=""/s/?q=Amsterdam+University+Press"" title=""Publisher"">Amsterdam University Press</a>","Polak, Sara, Trottier, Daniel",2020
Social media recruitment : how to successfully integrate social media into recruitment strategy,"<a href=""/s/?q=Kogan+Page"" title=""Publisher"">Kogan Page</a>","Headworth, Andy",2015
"Understanding Social Media And Entrepreneurship: The Business Of Hashtags, Likes, Tweets And Stories","<a href=""/s/?q=Springer"" title=""Publisher"">Springer</a>","Leon Schjoedt, Malin E. Brännback, Alan L. Carsrud",2020
"The B2B social media book: become a marketing superstar by generating leads with blogging, LinkedIn, Twitter, Facebook, email, and more - PDFDrive.com","<a href=""/s/?q=John+Wiley+%26+Sons"" title=""Publisher"">John Wiley &amp; Sons</a>",Jeffrey L. Cohen Kipp Bodnar,english
Tweets and the Streets: Social Media and Contemporary Activism,"<a href=""/s/?q=Pluto+Press"" title=""Publisher"">Pluto Press</a>",Paolo Gerbaudo,2012
Social Media Marketing: An Hour a Day,"<a href=""/s/?q=Sybex"" title=""Publisher"">Sybex</a>","Dave Evans, Susan Bratton",2012
"Social Media and Democracy: The State of the Field, Prospects for Reform","<a href=""/s/?q=Cambridge+University+Press"" title=""Publisher"">Cambridge University Press</a>","Nathaniel Persily, Joshua A. Tucker",2020
"Mining the social web: data mining Facebook, Twitter, LinkedIn, Google+, GitHub, and more","<a href=""/s/?q=O%27Reilly+Media"" title=""Publisher"">O'Reilly Media</a>",Matthew A. Russell,2013
"Designing Social Interfaces: Principles, Patterns, and Practices for Improving the User Experience (Animal Guide)","<a href=""/s/?q=Yahoo+Press+%2F+O%27Reilly+Media"" title=""Publisher"">Yahoo Press / O'Reilly Media</a>","Christian Crumlish, Erin Malone",2009
How the world changed social media,"<a href=""/s/?q=UCL+Press"" title=""Publisher"">UCL Press</a>","Daniel Miller, Elisabetta Costa, Nell Haynes, Tom McDonald, Razvan Nicolescu, Jolynna Sinanan, Juliano Spyer, Shriram Venkatraman, Xinyuan Wang",2016
"Disinformation, Misinformation, and Fake News in Social Media: Emerging Research Challenges and Opportunities","<a href=""/s/?q=Springer+International+Publishing%3BSpringer"" title=""Publisher"">Springer International Publishing;Springer</a>","Kai Shu, Suhang Wang, Dongwon Lee, Huan Liu",2020
Basic Marketing Research: Integration of Social Media,"<a href=""/s/?q=Pearson"" title=""Publisher"">Pearson</a>",Naresh K. Malhotra,2011
#Republic: Divided Democracy in the Age of Social Media,"<a href=""/s/?q=Princeton+University+Press"" title=""Publisher"">Princeton University Press</a>",Cass R. Sunstein,2017
Politics and Big Data: Nowcasting and Forecasting Elections with Social Media,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Andrea Ceron, Luigi Curini, Stefano Maria Iacus",2017
"The Social Media Bible: Tactics, Tools, and Strategies for Business Success","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",Lon Safko,2012
Applications of Social Media and Social Network Analysis,"<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>","Przemysław Kazienko, Nitesh Chawla (eds.)",2015
LikeWar: the Weaponization of Social Media,"<a href=""/s/?q=Houghton+Mifflin+Harcourt"" title=""Publisher"">Houghton Mifflin Harcourt</a>","Singer, P. W",2018
"Status Update: Celebrity, Publicity, and Branding in the Social Media Age","<a href=""/s/?q=Yale+University+Press"" title=""Publisher"">Yale University Press</a>",Alice E. Marwick,2013
"Social Media: How to Engage, Share, and Connect","<a href=""/s/?q=Rowman+%26+Littlefield+Publishers"" title=""Publisher"">Rowman &amp; Littlefield Publishers</a>",Regina Luttrell,2018
Networks Without a Cause: A Critique of Social Media,"<a href=""/s/?q=Polity"" title=""Publisher"">Polity</a>",Geert Lovink,2012
"The Origins of the Modern Chinese Press: The Influence of the Protestant Missionary Press in Late Qing China (Routledge Media, Culture and Social Change in Asia)",nan,Xiantao Zhang,2007
"Social Media Marketing 2021-22: Beginner's Guide to Making Money Online. Become a Successful Influencer Through Youtube, Twitter, Facebook, Instagram and Linkedin Algorithms. Start Your Passive Income","<a href=""/s/?q=Independently+published"" title=""Publisher"">Independently published</a>",Digital Business Academy,2021
Get Social: Social Media Strategy and Tactics for Leaders,"<a href=""/s/?q=Kogan+Page"" title=""Publisher"">Kogan Page</a>",Michelle Carvill,2018
"Social Media in Travel, Tourism and Hospitality: Theory, Practice and Cases","<a href=""/s/?q=Ashgate+Pub+Co"" title=""Publisher"">Ashgate Pub Co</a>","Marianna Sigala, Evangelos Christou, Ulrike Gretzel",2012
"Media Convergence Handbook - Vol. 1: Journalism, Broadcasting, and Social Media Aspects of Convergence","<a href=""/s/?q=Springer-Verlag+Berlin+Heidelberg"" title=""Publisher"">Springer-Verlag Berlin Heidelberg</a>","Artur Lugmayr, Cinzia Dal Zotto (eds.)",2016
The End of Marketing: Humanizing Your Brand in the Age of Social Media,"<a href=""/s/?q=Kogan+Page"" title=""Publisher"">Kogan Page</a>","Gil, Carlos",2021
Social Media Marketing All-in-One For Dummies,"<a href=""/s/?q=For+Dummies"" title=""Publisher"">For Dummies</a>","Jan Zimmerman, Doug Shalin",2010
"No Bullshit Social Media: The All-Business, No-Hype Guide to Social Media Marketing","<a href=""/s/?q=Que"" title=""Publisher"">Que</a>","Jason Falls, Erik Deckers",2011
"Social Media Marketing,3 books in one: Excellent Tricks to Grow your business,Instagram Marketing to become a famous influencer,Tiktok and You Tube to make Viral Videos",nan,"Miller, Dave",2020
Memes to movements : how the world's most viral media is changing social protest and power,"<a href=""/s/?q=Beacon+Press"" title=""Publisher"">Beacon Press</a>",An Xiao Mina,2019
"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts",nan,Shekhar mishra,2018
Encyclopedia of Social Movement Media,"<a href=""/s/?q=Sage+Publications%2C+Inc"" title=""Publisher"">Sage Publications, Inc</a>",Professor John D. H. Downing,2010
Mining Social Media: Finding Stories in Internet Data,"<a href=""/s/?q=No+Starch+Press"" title=""Publisher"">No Starch Press</a>",Lam Thuy Vo,2020
B2B-Online-Marketing und Social Media: Handlungsempfehlungen und Best Practices,"<a href=""/s/?q=Springer+Fachmedien+Wiesbaden%3BSpringer+Gabler"" title=""Publisher"">Springer Fachmedien Wiesbaden;Springer Gabler</a>","Ralf T. Kreutzer, Andrea Rumler, Benjamin Wille-Baumkauff",2020
Understanding Media Cultures: Social Theory and Mass Communication 2nd Edition,"<a href=""/s/?q=Sage+Publications+Ltd"" title=""Publisher"">Sage Publications Ltd</a>",Nicholas Stevenson,2002
"Instagram Marketing For Business: How To Get More Targeted Followers And Build A Brand On Instagram (Social Media, Internet Marketing, Instagram Tips)",nan,Martin Goodwin,english
Branding Yourself: How to Use Social Media to Invent or Reinvent Yourself,"<a href=""/s/?q=Que+Publishing"" title=""Publisher"">Que Publishing</a>","Erik Deckers, Kyle Lacy",2012
Social Media Analytics for User Behavior Modeling: A Task Heterogeneity Perspective (Data-Enabled Engineering),"<a href=""/s/?q=CRC+Press"" title=""Publisher"">CRC Press</a>","Arun Reddy Nelakurthi, Jingrui He",2020
Mastering Social Media Mining with Python,"<a href=""/s/?q=Packt+Publishing"" title=""Publisher"">Packt Publishing</a>",Marco Bonzanini,2016
Social Media Communication Data For Recovery: Detecting Socio-Economic Activities Following A Disaster,"<a href=""/s/?q=Springer"" title=""Publisher"">Springer</a>",Yuya Shibuya,2020
Analyzing Social Media Networks with NodeXL: Insights from a Connected World,"<a href=""/s/?q=Morgan+Kaufmann"" title=""Publisher"">Morgan Kaufmann</a>","Derek Hansen Ph.D.  University of Michigan, Ben Shneiderman Ph.D.  SUNY at Stony Brook, Marc A. Smith Ph.D.  UCLA  Los Angeles  CA, Itai Himelboim Ph.D. - School of Journalism and Mass Communication  University of Minnesota",2019
Managing Online Reputation: How to Protect Your Company on Social Media,"<a href=""/s/?q=Palgrave+Macmillan"" title=""Publisher"">Palgrave Macmillan</a>",Charlie Pownall,2015
"SMACing the Bank: How to Use Social Media, Mobility, Analytics and Cloud Technologies to Transform the Business Processes of Banks and the Banking Experience","<a href=""/s/?q=Auerbach+Publications%3BCRC+Press"" title=""Publisher"">Auerbach Publications;CRC Press</a>","Balaji Raghunathan, Rajashekara Maiya",2018
A Social History of the Media,nan,"Peter Burke, Peter Burke",2020
Dark Persuasion: A History of Brainwashing from Pavlov to Social Media,"<a href=""/s/?q=Yale+University+Press"" title=""Publisher"">Yale University Press</a>","Dimsdale, Joel E.",2021
The Networked Nonprofit: Connecting with Social Media to Drive Change,nan,"Beth Kanter, Allison Fine",2010
The End of Marketing: Humanizing Your Brand in the Age of Social Media,"<a href=""/s/?q=Kogan+Page"" title=""Publisher"">Kogan Page</a>","Gil, Carlos",2021
"Social Media Playbook for Business: Reaching Your Online Community with Twitter, Facebook, LinkedIn, and More","<a href=""/s/?q=Praeger"" title=""Publisher"">Praeger</a>",Tom Funk,2011
"Social Media, Crisis Communication and Emergency Management: Leveraging Web 2.0 Technologies","<a href=""/s/?q=CRC"" title=""Publisher"">CRC</a>",Connie White,2016
Instagram als Marketing-Kanal: Die Positionierung ausgewählter Social-Media-Plattformen,"<a href=""/s/?q=VS+Verlag+f%C3%BCr+Sozialwissenschaften"" title=""Publisher"">VS Verlag für Sozialwissenschaften</a>","Manuel Faßmann, Christoph Moss (auth.)",2016
"The Psychology and Dynamics Behind Social Media Interactions (Advances in Psychology, Mental Health, and Behavioral Studies)","<a href=""/s/?q=IGI+Global"" title=""Publisher"">IGI Global</a>",Malinda Desjarlais,2019
Deviance in Social Media and Social Cyber Forensics: Uncovering Hidden Relations Using Open Source Information (OSINF),"<a href=""/s/?q=Springer"" title=""Publisher"">Springer</a>","Samer Al-khateeb, Nitin Argawal",2019
Cases in Public Relations Management: The Rise of Social Media and Activism,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Patricia Swann,2014
"Successful Business Writing - How to Write Business Letters, Emails, Reports, Minutes and for Social Media - Improve Your English Writing and Grammar","<a href=""/s/?q=Universe+of+Learning+Ltd"" title=""Publisher"">Universe of Learning Ltd</a>",Heather Baker,2013
"Translation and Social Media: In Theory, in Training and in Professional Practice","<a href=""/s/?q=Palgrave+Macmillan+UK"" title=""Publisher"">Palgrave Macmillan UK</a>",Renée Desjardins (auth.),2017
The SAGE Handbook of Social Media,"<a href=""/s/?q=SAGE+Publications"" title=""Publisher"">SAGE Publications</a>","Jean Burgess, Alice E. Marwick, Thomas Poell",2018
"Hacking into Social Media Marketing: Don't succumb to their algorithm changes, Fool Proof way to gain traffic at Zero Cost",nan,"Selvan, Prabhuram",2015
"Social Media Marketing: Strategien für Twitter, Facebook & Co.","<a href=""/s/?q=O+Reilly+Verlag"" title=""Publisher"">O Reilly Verlag</a>",Tamar Weinberg,2010
Handbook of Social Media Management: Value Chain and Business Models in Changing Media Markets,"<a href=""/s/?q=Springer-Verlag+Berlin+Heidelberg"" title=""Publisher"">Springer-Verlag Berlin Heidelberg</a>","Mike Friedrichsen, Wolfgang Mühl-Benninghaus (auth.), Mike Friedrichsen, Wolfgang Mühl-Benninghaus (eds.)",2013
"Social Media for Government: A Practical Guide to Understanding, Implementing, and Managing Social Media Tools in the Public Sphere","<a href=""/s/?q=Springer+Singapore"" title=""Publisher"">Springer Singapore</a>",Gohar F. Khan (auth.),2017
Understanding Social Media : How to Create a Plan for Your Business that Works,"<a href=""/s/?q=Kogan+Page"" title=""Publisher"">Kogan Page</a>","Ryan, Damian",2015
Culture and economy in the age of social media,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Fuchs, Christian",2015
"BIFF: quick responses to high-conflict people, their personal attacks, hostile email and social media meltdowns","<a href=""/s/?q=High+Conflict+Institute+Press%3BUnhooked+Books"" title=""Publisher"">High Conflict Institute Press;Unhooked Books</a>","Eddy, William A",2014
301 Ways to Use Social Media To Boost Your Marketing,"<a href=""/s/?q=McGraw-Hill"" title=""Publisher"">McGraw-Hill</a>",Catherine Parker,2010
Strategic social media : from marketing to social change,"<a href=""/s/?q=Wiley-Blackwell"" title=""Publisher"">Wiley-Blackwell</a>","Mahoney, L. Meghan, Tang, Tang",2016
The Qualified Self: Social Media and the Accounting of Everyday Life,"<a href=""/s/?q=The+MIT+Press"" title=""Publisher"">The MIT Press</a>",Lee Humphreys,2018
Instagram: Visual Social Media Cultures,"<a href=""/s/?q=Polity"" title=""Publisher"">Polity</a>","Tama Leaver, Tim Highfield, Crystal Abidin",2019
"Splunk Essentials: Leverage the power of Splunk to efficiently analyze machine, log, web, and social media data","<a href=""/s/?q=Packt+Publishing"" title=""Publisher"">Packt Publishing</a>",Betsy Page Sigman,2015
Branding: What You Need to Know About Building a Personal Brand and Growing Your Small Business Using Social Media Marketing and Offline Guerrilla Tactics,"<a href=""/s/?q=Primasta"" title=""Publisher"">Primasta</a>","Barlow, Chase",2020
Crack the Social Media Sales Code: Marketing Strategy Guide to Improve Sales Acceleration Formula to Better Business,nan,"Aaron Cornwell [Cornwell, Aaron]",2016
"Big Data Analytics Using Splunk: Deriving Operational Intelligence from Social Media, Machine Data, Existing Data Warehouses, and Other Real-Time Streaming Sources","<a href=""/s/?q=Apress"" title=""Publisher"">Apress</a>","Peter Zadrozny, Raghu Kodali",2013
DIY Social Media Content Strategy,"<a href=""/s/?q=CreateSpace+Independent+Publishing+Platform"" title=""Publisher"">CreateSpace Independent Publishing Platform</a>",Astrid Haug,2015
"How To Go Viral and Reach Millions: Top Persuasion Secrets from Social Media Superstars, Jesus, Shakespeare, Oprah, and Even Donald Trump","<a href=""/s/?q=Luminare+Press"" title=""Publisher"">Luminare Press</a>",Joseph Romm,2018
The Crowdsourced Panopticon : Conformity and Control on Social Media,"<a href=""/s/?q=Rowman+%26+Littlefield"" title=""Publisher"">Rowman &amp; Littlefield</a>",Jeremy Weissman,2021
"The Digital Arts and Humanities: Neogeography, Social Media and Big Data Integrations and Applications","<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>","Charles Travis, Alexander von Lünen (eds.)",2016
Creator Culture: An Introduction to Global Social Media Entertainment,"<a href=""/s/?q=New+York+University+Press"" title=""Publisher"">New York University Press</a>",Stuart Cunningham and David Craig,2021
"The New Rules of Marketing and PR: How to Use Social Media, Blogs, News Releases, Online Video, and Viral Marketing to Reach Buyers Directly, 2nd Edition","<a href=""/s/?q=John+Wiley"" title=""Publisher"">John Wiley</a>",David Meerman Scott,2010
"How We Win: How Cutting-Edge Entrepreneurs, Political Visionaries, Enlightened Business Leaders, and Social Media Mavens Can Defeat the Extremist Threat","<a href=""/s/?q=Custom+House"" title=""Publisher"">Custom House</a>",Farah Pandith,2019
50 things to know to market your self-published book using social media,"<a href=""/s/?q=50+Things+to+Know"" title=""Publisher"">50 Things to Know</a>",Joseph Young,2014
Mining Social Media: Finding Stories in Internet Data,"<a href=""/s/?q=No+Starch+Press"" title=""Publisher"">No Starch Press</a>",Lam Thuy Vo,2019
Social Media Management: Technologies and Strategies for Creating Business Value,"<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>",Amy Van Looy (auth.),2016
"Cyberprotest: New Media, Citizens and Social Movements",nan,W. Van De Donk,2004
User-Generated Content and its Impact on Branding: How Users and Communities Create and Manage Brands in Social Media,"<a href=""/s/?q=Gabler+Verlag"" title=""Publisher"">Gabler Verlag</a>",Severin Dennhardt (auth.),2014
"Social Media in Employee Selection and Recruitment: Theory, Practice, and Current Challenges","<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>","Richard N Landers, Gordon B Schmidt (eds.)",2016
Discourse of Twitter and social media [how we use language to create affiliation on the web],"<a href=""/s/?q=Bloomsbury"" title=""Publisher"">Bloomsbury</a>","Zappavigna, Michele",2015
Professione Social Media Manager,"<a href=""/s/?q=Hoepli"" title=""Publisher"">Hoepli</a>",Veronica Gentili,2020
A Social History of the Media: From Gutenberg to the Internet,"<a href=""/s/?q=Polity"" title=""Publisher"">Polity</a>",Asa Briggs and Peter Burke,2009
Social media branding for small business : the 5-sources model : a manifesto for your branding revolution,"<a href=""/s/?q=Business+Expert+Press"" title=""Publisher"">Business Expert Press</a>","Davis, Robert",2015
Social Media in China,"<a href=""/s/?q=Springer+Singapore%3BPalgrave+Macmillan"" title=""Publisher"">Springer Singapore;Palgrave Macmillan</a>",Wenbo Kuang,2018
Renegades write the rules : how the Digital Royalty use social media to innovate,"<a href=""/s/?q=Jossey-Bass+"" title=""Publisher"">Jossey-Bass </a>",Amy Jo Martin,2012
Managing Negative Word-of-Mouth on Social Media Platforms: The Effect of Hotel Management Responses on Observers’ Purchase Intention,"<a href=""/s/?q=Gabler+Verlag"" title=""Publisher"">Gabler Verlag</a>",Ines Nee (auth.),2016
Disinformazia: La comunicazione al tempo dei social media,"<a href=""/s/?q=Marsilio"" title=""Publisher"">Marsilio</a>",Francesco Nicodemo,2017
"Charisma: Conversation Skills, Influence, Social Skills, People Skills (Communication Skills, How To Talk To Anyone, Persuasion, How To Be Charismatic, Be Magnetic)","<a href=""/s/?q=Pomodoro+Media"" title=""Publisher"">Pomodoro Media</a>","Gary Marshall [Marshall, Gary]",2014
"Global Chinese Cinema: The Culture and Politics of 'Hero' (Media, Culture and Social Change in Asia Series)","<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Gary D. Rawnsley, Ming-Yeh T. Rawnsley",2010
Social Media Measurement and Management: Entrepreneurial Digital Analytics,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Jeremy Harris Lipschultz,2019
"CRM at the Speed of Light: Social CRM 2.0 Strategies, Tools, and Techniques for Engaging Your Customers","<a href=""/s/?q=McGraw-Hill+Osborne+Media"" title=""Publisher"">McGraw-Hill Osborne Media</a>",Paul Greenberg,2009
LIT: The Simple Protocol for Dental Photography in the Age of Social Media,"<a href=""/s/?q=QUINTESSENCE"" title=""Publisher"">QUINTESSENCE</a>",MIGUEL A. ORTIZ,2019
"Social Media Marketing when you have NO CLUE!: Youtube, Instagram, Pinterest, Twitter, Facebook",nan,"Gabrielle, Gundi",2017
Follow me!: Erfolgreiches Social Media Marketing,"<a href=""/s/?q=Galileo+Press"" title=""Publisher"">Galileo Press</a>","Anne Grabs, Karim-Patrick Bannour",2011
